Judge,Candidate.Chosen,Candidate.Not.Chosen,group
503,32,90,expert2
708,32,93,expert1
147,32,110,peer2
121,32,116,peer1
609,32,119,novice
186,32,119,peer2
147,32,121,peer2
713,32,147,expert1
502,32,151,expert1
21,32,163,peer2
218,32,180,peer1
173,32,194,peer2
709,32,198,expert1
152,32,199,peer2
505,32,203,expert2
605,32,206,novice
173,32,215,peer2
21,32,219,peer2
508,32,228,expert1
218,32,229,peer1
115,33,3,peer2
209,33,35,peer2
507,33,36,expert2
509,33,43,expert2
713,33,44,expert1
509,33,49,expert2
216,33,50,peer1
230,33,55,peer2
216,33,56,peer1
501,33,57,expert1
501,33,74,expert1
602,33,78,novice
162,33,94,peer2
606,33,97,novice
603,33,99,novice
502,33,105,expert1
707,33,109,expert2
713,33,113,expert1
115,33,116,peer2
707,33,123,expert2
212,33,125,peer2
701,33,132,expert2
609,33,137,novice
207,33,137,peer1
158,33,142,peer1
135,33,142,peer2
505,33,143,expert2
105,33,144,peer2
704,33,145,expert1
158,33,148,peer1
503,33,155,expert2
503,33,167,expert2
39,33,170,peer1
505,33,182,expert2
144,33,189,peer2
705,33,191,expert2
602,33,191,novice
112,33,205,peer1
92,33,205,peer1
48,33,210,peer1
703,33,212,expert2
702,33,221,expert1
507,33,229,expert2
607,34,2,novice
506,34,20,expert1
172,34,22,peer1
227,34,22,peer1
709,34,28,expert1
505,34,29,expert2
509,34,38,expert2
75,34,41,peer2
205,34,41,peer2
144,34,41,peer2
172,34,44,peer1
503,34,46,expert2
156,34,64,peer1
227,34,78,peer1
703,34,89,expert2
605,34,89,novice
701,34,93,expert2
507,34,94,expert2
607,34,110,novice
608,34,110,novice
505,34,113,expert2
505,34,113,expert2
602,34,115,novice
22,34,130,peer1
156,34,134,peer1
62,34,143,peer2
608,34,147,novice
200,34,164,peer2
130,34,180,peer1
605,34,187,novice
507,34,193,expert2
153,34,202,peer1
507,34,205,expert2
606,34,214,novice
708,34,224,expert1
713,35,2,expert1
509,35,7,expert2
602,35,21,novice
45,35,29,peer2
198,35,31,peer1
602,35,38,novice
33,35,43,peer1
601,35,45,novice
506,35,50,expert1
711,35,52,expert1
602,35,52,novice
607,35,52,novice
609,35,52,novice
72,35,52,peer1
505,35,88,expert2
88,35,89,peer2
713,35,92,expert1
197,35,92,peer2
73,35,108,peer1
703,35,122,expert2
153,35,128,peer1
172,35,142,peer1
220,35,143,peer2
198,35,145,peer1
605,35,149,novice
171,35,149,peer1
199,35,149,peer1
169,35,164,peer2
180,35,169,peer1
223,35,171,peer1
602,35,200,novice
604,35,203,novice
508,35,208,expert1
102,35,211,peer2
74,35,219,peer1
707,35,220,expert2
172,35,226,peer1
715,36,29,expert2
503,36,39,expert2
102,36,41,peer2
503,36,49,expert2
155,36,65,peer1
28,36,71,peer2
54,36,79,peer2
606,36,128,novice
150,36,140,peer1
502,36,141,expert1
99,36,144,peer1
714,36,159,expert2
134,36,159,peer1
71,36,159,peer1
94,36,163,peer2
221,36,164,peer1
22,36,184,peer1
710,36,187,expert1
508,36,194,expert1
604,36,202,novice
24,36,202,peer1
607,36,206,novice
609,36,207,novice
606,36,213,novice
4,36,217,peer2
606,36,219,novice
138,36,230,peer2
125,37,2,peer1
601,37,20,novice
46,37,21,peer1
228,37,23,peer1
79,37,28,peer2
31,37,29,peer1
602,37,30,novice
605,37,30,novice
116,37,32,peer1
709,37,34,expert1
226,37,34,peer2
701,37,35,expert2
506,37,38,expert1
99,37,44,peer1
704,37,47,expert1
79,37,57,peer2
131,37,75,peer2
503,37,78,expert2
27,37,95,peer2
506,37,102,expert1
507,37,120,expert2
607,37,128,novice
503,37,140,expert2
711,37,145,expert1
503,37,145,expert2
226,37,149,peer2
713,37,191,expert1
98,37,191,peer2
185,37,193,peer1
608,37,200,novice
507,37,205,expert2
607,37,206,novice
508,37,209,expert1
605,37,221,novice
705,38,28,expert2
701,38,29,expert2
602,38,32,novice
508,38,34,expert1
37,38,36,peer2
603,38,45,novice
605,38,48,novice
27,38,53,peer2
142,38,57,peer2
105,38,65,peer2
606,38,70,novice
57,38,77,peer2
35,38,103,peer1
138,38,104,peer2
715,38,128,expert2
707,38,134,expert2
95,38,137,peer1
702,38,144,expert1
605,38,145,novice
607,38,148,novice
601,38,201,novice
508,38,209,expert1
609,38,211,novice
57,38,213,peer2
187,38,216,peer1
126,38,220,peer1
183,38,225,peer2
609,39,6,novice
240,39,8,peer2
198,39,20,peer1
507,39,21,expert2
227,39,24,peer1
8,39,24,peer1
607,39,26,novice
190,39,30,peer1
228,39,31,peer1
506,39,33,expert1
506,39,43,expert1
713,39,50,expert1
702,39,52,expert1
502,39,56,expert1
509,39,56,expert2
604,39,58,novice
605,39,73,novice
210,39,90,peer1
508,39,97,expert1
705,39,104,expert2
507,39,109,expert2
228,39,113,peer1
136,39,114,peer2
223,39,120,peer1
173,39,130,peer2
72,39,135,peer1
701,39,136,expert2
603,39,136,novice
609,39,149,novice
507,39,151,expert2
605,39,152,novice
710,39,167,expert1
509,39,171,expert2
208,39,171,peer2
502,39,175,expert1
131,39,181,peer2
608,39,192,novice
208,39,194,peer2
508,39,195,expert1
508,39,195,expert1
148,39,195,peer1
227,39,199,peer1
709,39,203,expert1
602,39,214,novice
710,39,219,expert1
608,39,220,novice
608,39,225,novice
34,39,225,peer2
503,39,229,expert2
33,40,2,peer1
708,40,8,expert1
126,40,8,peer1
148,40,32,peer1
8,40,39,peer1
507,40,43,expert2
503,40,49,expert2
126,40,50,peer1
225,40,55,peer1
207,40,63,peer1
207,40,72,peer1
184,40,75,peer2
23,40,77,peer2
186,40,90,peer2
62,40,93,peer2
608,40,96,novice
706,40,103,expert2
142,40,103,peer2
135,40,109,peer2
123,40,109,peer2
605,40,116,novice
123,40,116,peer2
506,40,119,expert1
602,40,119,novice
47,40,119,peer1
88,40,121,peer2
23,40,121,peer2
607,40,135,novice
605,40,141,novice
502,40,143,expert1
503,40,143,expert2
701,40,145,expert2
604,40,151,novice
608,40,170,novice
609,40,170,novice
508,40,171,expert1
711,40,182,expert1
78,40,190,peer1
609,40,192,novice
88,40,198,peer2
8,40,199,peer1
149,40,201,peer2
702,40,212,expert1
601,40,213,novice
148,40,215,peer1
709,40,217,expert1
607,40,218,novice
711,40,226,expert1
508,40,229,expert1
503,40,229,expert2
76,40,229,peer2
608,41,22,novice
159,41,22,peer1
204,41,30,peer2
701,41,33,expert2
176,41,37,peer1
502,41,44,expert1
505,41,44,expert2
509,41,44,expert2
606,41,57,novice
137,41,73,peer1
55,41,78,peer1
502,41,88,expert1
713,41,113,expert1
711,41,130,expert1
215,41,135,peer1
703,41,136,expert2
207,41,137,peer1
609,41,144,novice
142,41,155,peer2
144,41,157,peer2
501,41,159,expert1
605,41,159,novice
609,41,184,novice
709,41,191,expert1
501,41,193,expert1
506,41,202,expert1
606,41,202,novice
132,41,207,peer1
608,41,210,novice
703,41,214,expert2
506,41,216,expert1
702,41,230,expert1
53,43,44,peer2
608,43,47,novice
503,43,48,expert2
503,43,49,expert2
53,43,49,peer2
711,43,75,expert1
140,43,78,peer1
606,43,79,novice
224,43,93,peer2
508,43,95,expert1
710,43,102,expert1
606,43,111,novice
608,43,112,novice
605,43,120,novice
705,43,132,expert2
222,43,157,peer1
701,43,171,expert2
503,43,181,expert2
503,43,181,expert2
65,43,199,peer2
1,43,202,peer2
710,43,210,expert1
609,43,213,novice
609,43,216,novice
169,43,216,peer2
605,43,217,novice
223,43,217,peer1
608,44,22,novice
506,44,28,expert1
715,44,53,expert2
22,44,57,peer1
90,44,78,peer2
608,44,94,novice
506,44,111,expert1
711,44,126,expert1
96,44,126,peer1
507,44,132,expert2
709,44,134,expert1
22,44,140,peer1
710,44,143,expert1
506,44,148,expert1
606,44,148,novice
605,44,159,novice
605,44,163,novice
142,44,179,peer2
606,44,187,novice
151,44,191,peer1
506,44,193,expert1
509,44,199,expert2
502,44,200,expert1
507,44,200,expert2
28,44,202,peer2
90,44,205,peer2
606,44,210,novice
711,45,22,expert1
223,45,30,peer1
506,45,31,expert1
609,45,31,novice
110,45,38,peer1
703,45,48,expert2
704,45,55,expert1
507,45,64,expert2
70,45,73,peer2
508,45,75,expert1
606,45,75,novice
114,45,79,peer2
36,45,87,peer2
194,45,95,peer2
8,45,102,peer1
128,45,110,peer1
609,45,114,novice
506,45,116,expert1
197,45,121,peer2
509,45,122,expert2
503,45,126,expert2
184,45,128,peer2
608,45,135,novice
76,45,136,peer2
603,45,140,novice
219,45,140,peer1
508,45,153,expert1
20,45,154,peer1
709,45,164,expert1
94,45,168,peer2
703,45,169,expert2
711,45,170,expert1
503,45,171,expert2
503,45,176,expert2
164,45,176,peer2
704,45,181,expert1
8,45,184,peer1
605,45,189,novice
608,45,191,novice
503,45,192,expert2
509,45,195,expert2
110,45,199,peer1
219,45,200,peer1
223,45,206,peer1
702,45,211,expert1
128,45,216,peer1
78,45,217,peer1
54,45,220,peer2
194,45,229,peer2
607,45,230,novice
604,46,8,novice
508,46,38,expert1
109,46,44,peer1
102,46,44,peer2
119,46,45,peer1
209,46,45,peer2
602,46,50,novice
508,46,79,expert1
135,46,79,peer2
191,46,88,peer1
194,46,89,peer2
69,46,91,peer1
194,46,104,peer2
702,46,109,expert1
138,46,114,peer2
602,46,119,novice
503,46,123,expert2
507,46,123,expert2
509,46,123,expert2
701,46,126,expert2
508,46,163,expert1
508,46,163,expert1
706,46,176,expert2
106,46,180,peer2
109,46,187,peer1
150,46,190,peer1
135,46,192,peer2
200,46,195,peer2
220,46,198,peer2
505,46,199,expert2
63,46,206,peer1
709,46,207,expert1
119,46,216,peer1
507,46,218,expert2
506,46,230,expert1
605,47,20,novice
505,47,26,expert2
509,47,26,expert2
197,47,26,peer2
65,47,29,peer2
124,47,43,peer2
89,47,48,peer2
40,47,50,peer2
505,47,53,expert2
602,47,53,novice
708,47,70,expert1
702,47,76,expert1
194,47,104,peer2
172,47,116,peer1
709,47,119,expert1
92,47,119,peer1
150,47,119,peer1
508,47,128,expert1
606,47,128,novice
507,47,136,expert2
713,47,143,expert1
124,47,145,peer2
506,47,157,expert1
506,47,159,expert1
73,47,179,peer1
602,47,182,novice
505,47,206,expert2
609,47,206,novice
602,47,207,novice
606,47,207,novice
181,47,210,peer1
168,47,210,peer1
508,47,212,expert1
507,47,212,expert2
608,47,212,novice
163,47,212,peer2
73,47,213,peer1
508,47,216,expert1
606,47,216,novice
142,47,216,peer2
705,47,218,expert2
705,47,219,expert2
154,47,219,peer1
181,47,219,peer1
145,47,219,peer2
507,47,220,expert2
112,47,223,peer1
150,47,226,peer1
709,48,2,expert1
187,48,8,peer1
2,48,20,peer2
608,48,26,novice
709,48,31,expert1
198,48,31,peer1
78,48,31,peer1
503,48,34,expert2
508,48,38,expert1
503,48,40,expert2
704,48,41,expert1
160,48,69,peer1
216,48,89,peer1
195,48,89,peer1
605,48,97,novice
604,48,104,novice
602,48,111,novice
214,48,112,peer2
161,48,135,peer2
503,48,142,expert2
507,48,144,expert2
604,48,145,novice
506,48,146,expert1
508,48,152,expert1
506,48,157,expert1
711,48,182,expert1
706,48,192,expert2
203,48,201,peer2
508,48,203,expert1
201,48,203,peer2
137,48,209,peer1
607,48,213,novice
508,48,226,expert1
509,48,227,expert2
604,49,3,novice
604,49,6,novice
154,49,7,peer1
137,49,7,peer1
116,49,21,peer1
602,49,25,novice
137,49,31,peer1
154,49,31,peer1
502,49,32,expert1
509,49,32,expert2
140,49,41,peer1
711,49,47,expert1
701,49,53,expert2
608,49,65,novice
708,49,70,expert1
505,49,70,expert2
707,49,70,expert2
603,49,74,novice
145,49,76,peer2
701,49,89,expert2
704,49,108,expert1
704,49,109,expert1
207,49,109,peer1
502,49,116,expert1
602,49,125,novice
707,49,130,expert2
506,49,135,expert1
172,49,142,peer1
505,49,143,expert2
142,49,145,peer2
508,49,146,expert1
607,49,159,novice
28,49,171,peer2
711,49,176,expert1
505,49,181,expert2
507,49,187,expert2
23,49,187,peer2
601,49,189,novice
608,49,195,novice
2,49,199,peer2
1,49,202,peer2
506,49,203,expert1
602,49,205,novice
146,49,209,peer1
116,49,211,peer1
155,49,212,peer1
503,49,218,expert2
1,49,219,peer2
53,49,219,peer2
115,50,3,peer2
605,50,36,novice
173,50,39,peer2
509,50,41,expert2
706,50,44,expert2
169,50,52,peer2
174,50,55,peer2
62,50,71,peer2
608,50,77,novice
609,50,77,novice
606,50,78,novice
