School,Judge,Candidate.Chosen,Candidate.Not.Chosen
5403,414,1010,92
5403,414,92,84
5403,414,95,84
5403,414,101,95
5403,414,101,89
5403,414,106,89
5403,414,106,107
5403,414,107,810
5403,414,810,93
5403,414,83,93
5403,414,83,103
5403,414,103,102
5403,414,102,109
5403,414,109,85
5403,414,88,94
5403,414,85,88
5403,414,94,86
5403,414,87,86
5403,414,104,87
5403,416,101,87
5403,416,87,85
5403,416,85,93
5403,416,106,93
5403,416,106,86
5403,416,109,86
5403,416,92,109
5403,416,81,92
5403,416,81,810
5403,416,84,810
5403,416,102,84
5403,416,102,94
5403,416,82,94
5403,416,82,95
5403,416,95,88
5403,416,105,88
5403,416,105,103
5403,416,103,91
5403,416,91,104
5403,416,83,104
5403,416,89,83
5403,416,107,89
5403,416,107,1010
5403,396,83,86
5403,396,107,83
5403,396,107,85
5403,396,81,85
5403,396,87,81
5403,396,87,95
5403,396,104,95
5403,396,109,104
5403,396,101,109
5403,396,101,94
5403,396,94,93
5403,396,84,93
5403,396,84,91
5403,396,82,91
5403,396,103,82
5403,396,103,102
5403,396,105,102
5403,396,1010,105
5403,396,1010,810
5403,396,106,810
5403,396,88,106
5403,396,88,89
5403,396,89,92
5403,423,85,89
5403,423,85,91
5403,423,106,91
5403,423,86,106
5403,423,104,86
5403,423,83,104
5403,423,83,103
5403,423,107,103
5403,423,1010,107
5403,423,1010,105
5403,423,105,102
5403,423,101,102
5403,423,101,94
5403,423,94,84
5403,423,95,84
5403,423,95,93
5403,423,810,93
5403,423,810,92
5403,423,92,82
5403,423,109,82
5403,423,109,81
5403,423,87,81
5403,423,88,87
5403,425,1010,103
5403,425,1010,810
5403,425,104,101
5403,425,101,810
5403,425,104,88
5403,425,105,88
5403,425,105,102
5403,425,102,94
5403,425,84,94
5403,425,107,84
5403,425,107,85
5403,425,85,91
5403,425,87,91
5403,425,87,89
5403,425,89,93
5403,425,93,109
5403,425,109,95
5403,425,86,95
5403,425,86,81
5403,425,83,81
5403,425,92,83
5403,425,106,92
5403,425,106,82
5403,425,103,93
5403,425,91,93
5403,425,104,91
5403,425,104,88
5403,425,88,102
5403,425,102,81
5403,425,81,82
5403,425,82,84
5403,425,84,101
5403,425,101,105
5403,425,105,86
5403,425,86,95
5403,425,95,87
5403,425,87,89
5403,425,89,85
5403,425,85,94
5403,425,94,109
5403,425,109,106
5403,425,107,106
5403,425,107,810
5403,425,810,92
5403,425,1010,92
5403,425,1010,83
5403,398,95,85
5403,398,810,85
5403,398,1010,810
5403,398,1010,84
5403,398,92,84
5403,398,92,101
5403,398,101,102
5403,398,107,102
5403,398,107,94
5403,398,94,103
5403,398,82,103
5403,398,82,91
5403,398,91,106
5403,398,106,104
5403,398,105,88
5403,398,86,105
5403,398,89,109
5403,398,104,86
5403,398,88,89
5403,398,109,81
5403,398,81,93
5403,398,93,83
5403,398,83,87
5403,398,102,810
5403,398,105,810
5403,398,105,106
5403,398,94,106
5403,398,94,84
5403,398,83,84
5403,398,83,91
5403,398,91,86
5403,398,81,86
5403,398,81,101
5403,398,101,95
5403,398,1010,95
5403,398,1010,82
5403,398,82,92
5403,398,92,93
5403,398,93,89
5403,398,89,104
5403,398,104,109
5403,398,109,103
5403,398,103,85
5403,398,85,107
5403,398,107,88
5403,398,88,87
5403,406,83,93
5403,406,1010,93
5403,406,1010,104
5403,406,104,84
5403,406,109,84
5403,406,109,105
5403,406,81,105
5403,406,81,94
5403,406,94,92
5403,406,87,92
5403,406,87,107
5403,406,106,107
5403,406,106,88
5403,406,88,95
5403,406,86,95
5403,406,86,89
5403,406,89,85
5403,406,85,102
5403,406,101,102
5403,406,101,82
5403,406,82,810
5403,406,103,810
5403,406,103,91
5403,417,105,94
5403,417,94,84
5403,417,102,84
5403,417,82,102
5403,417,107,82
5403,417,107,87
5403,417,87,88
5403,417,88,103
5403,417,103,83
5403,417,83,104
5403,417,109,86
5403,417,86,810
5403,417,85,810
5403,417,85,106
5403,417,106,101
5403,417,101,91
5403,417,91,92
5403,417,92,1010
5403,417,1010,93
5403,417,93,81
5403,417,81,89
5403,417,95,89
5403,399,89,109
5403,399,84,109
5403,399,85,84
5403,399,87,85
5403,399,104,103
5403,399,82,86
5403,399,101,82
5403,399,86,91
5403,399,93,91
5403,399,88,93
5403,399,1010,88
5403,399,107,1010
5403,399,107,105
5403,399,105,102
5403,399,83,102
5403,399,83,95
5403,399,810,95
5403,399,810,92
5403,399,81,92
5403,399,81,106
5403,399,106,94
5403,410,109,102
5403,410,109,84
5403,410,104,84
5403,410,104,89
5403,410,89,91
5403,410,95,91
5403,410,107,95
5403,410,107,87
5403,410,87,810
5403,410,810,93
5403,410,82,93
5403,410,82,103
5403,410,103,88
5403,410,101,88
5403,410,101,105
5403,410,106,105
5403,410,106,94
5403,410,94,86
5403,410,86,1010
5403,410,81,1010
5403,410,81,83
5403,410,83,92
5403,410,85,92
5403,403,88,92
5403,403,86,89
5403,403,102,89
5403,403,103,102
5403,403,103,95
5403,403,105,95
5403,403,105,101
5403,403,104,101
5403,403,83,104
5403,403,83,84
5403,403,85,84
5403,403,106,85
5403,403,107,106
5403,403,107,94
5403,403,82,94
5403,403,82,93
5403,403,93,109
5403,403,109,92
5403,403,81,92
5403,403,81,87
5403,403,87,810
5403,403,91,810
5403,403,1010,91
5403,403,88,1010
5403,421,105,810
5403,421,88,81
5403,421,85,88
5403,421,85,84
5403,421,109,84
5403,421,109,95
5403,421,107,95
5403,421,107,89
5403,421,101,89
5403,421,82,101
5403,421,103,82
5403,421,103,102
5403,421,102,94
5403,421,93,94
5403,421,83,93
5403,421,92,83
5403,421,106,92
5403,421,106,91
5403,421,1010,91
5403,421,87,1010
5403,421,104,87
5403,421,104,86
5403,407,89,109
5403,407,107,102
5403,407,102,1010
5403,407,104,1010
5403,407,104,88
5403,407,88,86
5403,407,101,86
5403,407,101,84
5403,407,92,82
5403,407,91,87
5403,407,94,91
5403,407,93,94
5403,407,105,93
5403,407,103,105
5403,407,83,103
5403,407,95,83
5403,407,109,81
5403,407,87,92
5403,407,81,82
5403,407,105,82
5403,407,105,107
5403,407,103,107
5403,407,103,101
5403,407,101,88
5403,407,88,91
5403,407,104,91
5403,407,104,85
5403,407,85,102
5403,407,87,102
5403,407,87,83
5403,407,83,84
5403,407,84,92
5403,407,106,92
5403,407,106,86
5403,407,103,102
5403,407,89,102
5403,407,89,88
5403,407,88,91
5403,407,83,91
5403,407,83,106
5403,407,106,94
5403,407,84,94
5403,407,84,92
5403,407,86,92
5403,407,86,109
5403,407,101,109
5403,407,101,1010
5403,407,1010,81
5403,407,85,81
5403,407,85,104
5403,407,104,93
5403,407,105,93
5403,407,105,107
5403,407,107,95
5403,407,810,95
5403,407,810,82
5403,407,87,82
5403,402,101,102
5403,402,102,82
5403,402,88,82
5403,402,107,88
5403,402,107,95
5403,402,95,94
5403,402,94,91
5403,402,92,91
5403,402,92,85
5403,402,105,85
5403,402,93,104
5403,402,83,106
5403,402,89,83
5403,402,104,84
5403,402,810,89
5403,402,109,810
5403,402,1010,109
5403,402,106,93
5403,402,87,81
5403,402,86,103
5403,402,84,86
5403,424,103,86
5403,424,86,93
5403,424,93,810
5403,424,87,810
5403,424,84,87
5403,424,109,84
5403,424,102,109
5403,424,102,91
5403,424,88,91
5403,424,88,101
5403,424,81,101
5403,424,83,81
5403,424,83,92
5403,424,82,92
5403,424,82,95
5403,424,105,95
5403,424,105,94
5403,424,1010,94
5403,424,1010,89
5403,424,85,89
5403,424,106,85
5403,424,104,106
5403,424,107,104
5403,405,103,101
5403,405,103,91
5403,405,106,102
5403,405,88,102
5403,405,88,1010
