Judge,Candidate.Chosen,Candidate.Not.Chosen,Session
16,3,7,GCSE070211data
17,2,18,GCSE070211data
17,18,11,GCSE070211data
17,6,9,GCSE070211data
17,14,16,GCSE070211data
17,2,17,GCSE070211data
17,1,12,GCSE070211data
17,3,4,GCSE070211data
18,4,5,GCSE070211data
18,5,16,GCSE070211data
18,16,7,GCSE070211data
18,12,13,GCSE070211data
18,13,11,GCSE070211data
19,2,5,GCSE070211data
19,6,13,GCSE070211data
19,13,18,GCSE070211data
20,2,7,GCSE070211data
20,7,10,GCSE070211data
20,8,12,GCSE070211data
20,1,5,GCSE070211data
20,2,10,GCSE070211data
20,10,13,GCSE070211data
20,6,11,GCSE070211data
20,3,16,GCSE070211data
21,1,7,GCSE070211data
21,7,10,GCSE070211data
21,10,15,GCSE070211data
21,8,5,GCSE070211data
21,6,4,GCSE070211data
21,4,2,GCSE070211data
21,2,17,GCSE070211data
21,13,9,GCSE070211data
21,5,11,GCSE070211data
22,1,10,GCSE070211data
22,10,18,GCSE070211data
22,6,9,GCSE070211data
22,9,16,GCSE070211data
22,3,4,GCSE070211data
22,4,8,GCSE070211data
22,8,7,GCSE070211data
22,7,10,GCSE070211data
22,10,12,GCSE070211data
23,2,1,GCSE070211data
23,1,6,GCSE070211data
23,6,14,GCSE070211data
23,14,17,GCSE070211data
