individual	School	age_at_testing	school_recoded	activity_book	post_test	full_data	gender	gender_recode	class	group	group_recode	SAT1_Maths	Y4_maths	SAT1_write	Y4_write	SAT1_read	Y4_read	SAT1_Maths_recoded	current_maths_recoded	SAT1_write_recoded	current_write_recoded	SAT1_read_recoded	current_read_recoded	lesson_1	lesson_2	lesson_3	exclude	Ravens_A_C	Numerical_op	Anxiety_1	Anxiety_2	Anxiety_3	Anxiety_4	Anxiety_5	Anxiety_6	Anxiety_7	Anxiety_8	Anxiety_9	Anxiety_10	Anxiety_total	algebra_1a	algebra_1b	algebra_2a	algebra_2b	algebra_2c	algebra_3	algebra_4	algebra_5	algebra_6	algebra_7	algebra_8	algebra_1a	algebra_1b_corr	algebra_2a_corr	algebra_2b_corr	algebra_2c_corr	algebra_3_corr	algebra_4_corr	algebra_5_corr	algebra_6_corr	algebra_7_corr	algebra_8_corr	algebra_total	algebra_score	Written_expression	CJ_estimate
100	Church_Hill	9.15	2	1	1	1	f	1		grid algebra	0	3c	4c	2a	4c	3c	4b	10	13	5	13	10	12	1	1	1	0	23	14	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	d+8	14+5	3+n	45	761	15	a=3	donÍt know	the answer is 5	1	1	0	0	0	1	1	0	1	0	0	5	5	19	-0.039657156
101	Church_Hill	9.12	2	1	1	1	f	1		migen	1	2b	3c	2a	3a	2b	4b	6	10	5	8	6	12	1	1	1	0	19	8	3	2	1	1	3	1	1	3	2	2	1.9	n	n-7	12	n+9	7n	45	763	15	you can choose any number	999	m is always larger than n	0	0	1	1	0	1	0	0	0	0	0	3	3	15	0.510843388
102	Church_Hill	9.31	2	1	1	1	m	0		grid algebra	0	2b	3a	2c	3c	2b	3c	6	8	7	10	6	10	1	1	1	0	27	15	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	8+4	n+5+4	3n+4	45=7*5	763	10	a=3	nothing	?	1	1	1	1	1	0	0	0	1	0	0	6	6	6	-0.20174735
103	Church_Hill	9.95	2	1	1	1	m	0		grid algebra	0	2b	3a	2c	3c	2b	3b	6	8	7	10	6	9	1	1	1	0	22	13	2	1	2	2	1	2	1	2	1	1	1.5	"n-7,n-3,n,n+1,n+4"	999	12	n+9	7n	45	763	17	16	2	8	0	0	1	1	0	1	0	0	0	0	0	3	3	11	-1.231596662
104	Church_Hill	9.77	2	1	1	1	f	1		grid algebra	0	2a	3b	2a	4c	3c	3a	5	9	5	13	10	8	1	1	1	0	31	19	1	1	1	1	2	1	1	1	1	1	1.1	n+1	n+7	12	9	7	45	761	12	a=3	z	4n=	0	0	1	0	0	1	1	0	1	0	0	4	4	16	1.015388667
105	Church_Hill	9.68	2	1	1	1	f	1		grid algebra	0	2b	3b	2b	3b	2b	3b	6	9	6	9	6	9	1	1	1	0	23	16	3	2	1	2	3	1	1	2	1	1	1.7	n-7	n+4	12	n+5+4	7n	45	761	?	a=3	?	?	1	1	1	1	0	1	1	0	1	0	0	7	7	14	0.737777936
106	Church_Hill	9.9	2	1	1	1	f	1		migen	1	2a	3a	2b	3b	2a	4c	5	8	6	9	5	13	1	1	1	0	22	12	1	1	1	1	1	1	1	1	1	1	1	n-7	n	12	n+9	7n	45	761	15	don understand	still donÍt understand	I'm stuck	1	0	1	1	0	1	1	0	0	0	0	5	5	14	0.049357752
107	Church_Hill	9.76	2	1	1	1	f	1		grid algebra	0	2b	3c	2c	3c	2b	3b	6	10	7	10	6	9	1	1	1	0	20	11	1	1	1	1	3	1	1	1	1	3	1.4	"n, n-3, n-7"	"n+4, n+1"	999	n10	999	45	999	9	just add 3 to each time	999	999	0	0	0	0	0	1	0	0	0	0	0	1	1	14	0.015890458
108	Church_Hill	9.99	2	1	1	1	m	0		grid algebra	0	3c	3a	2b	3b	2a	3a	10	8	6	9	5	8	1	1	1	0	27	16	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	12	n+9	7n	45	761	15	a=3	It is a one difference	3n+1=4 and that is a one difference so is m and n	1	1	1	1	0	1	1	0	1	0	0	7	7	10	0.03081453
109	Church_Hill	9.76	2	1	1	1	f	1		migen	1	3c	4c	2a	4c	3c	4b	10	13	5	13	10	12	1	1	1	0	25	18	1	1	1	1	1	1	1	1	1	3	1.2	n-7	n+4	12	9	7n	45	761	18	a=3	u=4	m=35	1	1	1	0	0	1	1	0	1	1	0	7	7	17	-0.152326892
