judge,candidate_chosen,candidate_not_chosen,TimeTaken,Internal,DateCreated
zjnzjlcnzjla,1250_alltaskscropped,1701_alltaskscropped,203,undefined,15/02/201711:00:00
zjnzjlcnzjla,1255_alltaskscropped,1186_alltaskscropped,208,undefined,14/02/201712:50:00
zjnzjlcnzjla,466_alltaskscropped,1929_alltaskscropped,209,undefined,15/02/201710:34:00
zjnzjlcnzjla,1890_alltaskscropped,173_alltaskscropped,213,TRUE,10/03/201713:55:00
zjnzjlcnzjla,1457_alltaskscropped,1088_alltaskscropped,215,TRUE,10/03/201714:12:00
zjnzjlcnzjla,150_alltaskscropped,1768_alltaskscropped,215,TRUE,28/02/201713:40:00
zjnzjlcnzjla,1984_alltaskscropped,38_alltaskscropped,216,undefined,15/02/201710:35:00
zjnzjlcnzjla,483_alltaskscropped,1782_alltaskscropped,224,undefined,15/02/201710:42:00
zjnzjlcnzjla,1251_alltaskscropped,511_alltaskscropped,228,TRUE,10/03/201712:06:00
zjnzjlcnzjla,192_alltaskscropped,542_alltaskscropped,23,undefined,15/02/201714:25:00
zjnzjlcnzjla,1088_alltaskscropped,102_alltaskscropped,231,undefined,14/02/201712:47:00
zjnzjlcnzjla,1197_alltaskscropped,1055_alltaskscropped,234,undefined,15/02/201714:29:00
zjnzjlcnzjla,1063_alltaskscropped,829_alltaskscropped,235,TRUE,10/03/201711:35:00
zjnzjlcnzjla,883_alltaskscropped,1627_alltaskscropped,238,undefined,15/02/201710:39:00
zjnzjlcnzjla,840_alltaskscropped,1929_alltaskscropped,238,TRUE,10/03/201711:15:00
zjnzjlcnzjla,1338_alltaskscropped,898_alltaskscropped,241,undefined,14/02/201712:52:00
zjnzjlcnzjla,782_alltaskscropped,1709_alltaskscropped,243,undefined,15/02/201715:00:00
zjnzjlcnzjla,659_alltaskscropped,1005_alltaskscropped,245,TRUE,28/02/201714:00:00
zjnzjlcnzjla,1521_alltaskscropped,931_alltaskscropped,249,undefined,15/02/201710:41:00
zjnzjlcnzjla,781_alltaskscropped,1524_alltaskscropped,25,TRUE,10/03/201713:47:00
zjnzjlcnzjla,1486_alltaskscropped,1678_alltaskscropped,251,undefined,15/02/201714:27:00
zjnzjlcnzjla,1036_alltaskscropped,1511_alltaskscropped,252,TRUE,10/03/201712:17:00
zjnzjlcnzjla,49_alltaskscropped,1730_alltaskscropped,259,undefined,15/02/201714:52:00
zjnzjlcnzjla,577_alltaskscropped,1651_alltaskscropped,268,TRUE,10/03/201712:20:00
zjnzjlcnzjla,1469_alltaskscropped,1550_alltaskscropped,269,TRUE,10/03/201711:18:00
zjnzjlcnzjla,1485_alltaskscropped,673_alltaskscropped,278,undefined,15/02/201714:46:00
zjnzjlcnzjla,1150_alltaskscropped,428_alltaskscropped,279,undefined,15/02/201714:24:00
zjnzjlcnzjla,1856_alltaskscropped,1489_alltaskscropped,284,TRUE,10/03/201711:39:00
zjnzjlcnzjla,1570_alltaskscropped,1928_alltaskscropped,286,TRUE,10/03/201712:11:00
zjnzjlcnzjla,1623_alltaskscropped,1601_alltaskscropped,287,TRUE,28/02/201713:42:00
zjnzjlcnzjla,224_alltaskscropped,1726_alltaskscropped,294,TRUE,10/03/201713:48:00
zjnzjlcnzjla,1194_alltaskscropped,1152_alltaskscropped,296,TRUE,28/02/201713:44:00
zjnzjlcnzjla,1042_alltaskscropped,1603_alltaskscropped,299,TRUE,28/02/201714:05:00
zjnzjlcnzjla,815_alltaskscropped,811_alltaskscropped,305,undefined,15/02/201714:59:00
zjnzjlcnzjla,1130_alltaskscropped,1777_alltaskscropped,307,TRUE,10/03/201713:50:00
zjnzjlcnzjla,125_alltaskscropped,379_alltaskscropped,314,undefined,15/02/201710:40:00
zjnzjlcnzjla,1938_alltaskscropped,130_alltaskscropped,316,TRUE,10/03/201712:46:00
zjnzjlcnzjla,1803_alltaskscropped,1550_alltaskscropped,32,TRUE,10/03/201714:17:00
zjnzjlcnzjla,1058_alltaskscropped,1310_alltaskscropped,322,TRUE,10/03/201713:48:00
zjnzjlcnzjla,1454_alltaskscropped,Y8hi,325,TRUE,28/02/201713:43:00
zjnzjlcnzjla,804_alltaskscropped,1878_alltaskscropped,326,undefined,15/02/201714:28:00
zjnzjlcnzjla,554_alltaskscropped,1433_alltaskscropped,328,TRUE,10/03/201711:15:00
zjnzjlcnzjla,546_alltaskscropped,1198_alltaskscropped,334,TRUE,10/03/201712:21:00
zjnzjlcnzjla,1764_alltaskscropped,168_alltaskscropped,343,undefined,14/02/201712:51:00
zjnzjlcnzjla,1286_alltaskscropped,407_alltaskscropped,347,undefined,15/02/201710:38:00
zjnzjlcnzjla,1160_alltaskscropped,46_alltaskscropped,361,TRUE,10/03/201712:22:00
zjnzjlcnzjla,1801_alltaskscropped,396_alltaskscropped,363,undefined,15/02/201710:40:00
zjnzjlcnzjla,1377_alltaskscropped,1264_alltaskscropped,382,undefined,14/02/201712:53:00
zjnzjlcnzjla,1354_alltaskscropped,989_alltaskscropped,383,undefined,15/02/201714:26:00
zjnzjlcnzjla,1319_alltaskscropped,738_alltaskscropped,384,undefined,14/02/201712:43:00
zjnzjlcnzjla,1540_alltaskscropped,915_alltaskscropped,401,TRUE,10/03/201712:20:00
zjnzjlcnzjla,431_alltaskscropped,1352_alltaskscropped,403,undefined,14/02/201712:54:00
zjnzjlcnzjla,748_alltaskscropped,1954_alltaskscropped,413,TRUE,10/03/201711:14:00
zjnzjlcnzjla,94_alltaskscropped,1741_alltaskscropped,423,TRUE,28/02/201713:44:00
zjnzjlcnzjla,1187_alltaskscropped,1831_alltaskscropped,439,undefined,15/02/201710:41:00
zjnzjlcnzjla,1146_alltaskscropped,1375_alltaskscropped,444,undefined,15/02/201714:30:00
zjnzjlcnzjla,1741_alltaskscropped,581_alltaskscropped,46,TRUE,10/03/201714:16:00
zjnzjlcnzjla,1291_alltaskscropped,1402_alltaskscropped,461,TRUE,10/03/201714:12:00
zjnzjlcnzjla,443_alltaskscropped,1032_alltaskscropped,461,TRUE,10/03/201711:36:00
zjnzjlcnzjla,1241_alltaskscropped,535_alltaskscropped,475,TRUE,10/03/201711:11:00
zjnzjlcnzjla,992_alltaskscropped,Y3hi,505,TRUE,10/03/201712:11:00
zjnzjlcnzjla,557_alltaskscropped,1797_alltaskscropped,506,TRUE,10/03/201713:08:00
zjnzjlcnzjla,1942_alltaskscropped,1865_alltaskscropped,55,TRUE,10/03/201713:58:00
zjnzjlcnzjla,1068_alltaskscropped,64_alltaskscropped,556,TRUE,10/03/201712:54:00
zjnzjlcnzjla,1014_alltaskscropped,121_alltaskscropped,57,undefined,15/02/201710:36:00
zjnzjlcnzjla,1565_alltaskscropped,1880_alltaskscropped,583,undefined,15/02/201714:31:00
zjnzjlcnzjla,1825_alltaskscropped,538_alltaskscropped,676,TRUE,10/03/201711:41:00
zjnzjlcnzjla,1142_alltaskscropped,905_alltaskscropped,69,TRUE,28/02/201713:46:00
zjnzjlcnzjla,554_alltaskscropped,603_alltaskscropped,718,TRUE,10/03/201714:18:00
zjnzjlcnzjla,20_alltaskscropped,1886_alltaskscropped,73,TRUE,10/03/201714:03:00
zjnzjlcnzjla,1034_alltaskscropped,74_alltaskscropped,753,TRUE,10/03/201713:54:00
zjnzjlcnzjla,1018_alltaskscropped,1658_alltaskscropped,767,TRUE,10/03/201713:34:00
zjnzjlcnzjla,652_alltaskscropped,762_alltaskscropped,956,TRUE,10/03/201714:04:00
zjnzjlcnzjla,1049_alltaskscropped,2011_alltaskscropped,1033,TRUE,10/03/201713:52:00
zjnzjlcnzjla,756_alltaskscropped,304_alltaskscropped,1043,undefined,14/02/201712:49:00
zjnzjlcnzjla,283_alltaskscropped,1351_alltaskscropped,1045,undefined,15/02/201714:55:00
zjnzjlcnzjla,720_alltaskscropped,1519_alltaskscropped,111,TRUE,10/03/201711:17:00
zjnzjlcnzjla,523_alltaskscropped,1983_alltaskscropped,1157,TRUE,10/03/201711:20:00
zjnzjlcnzjla,561_alltaskscropped,556_alltaskscropped,1249,TRUE,28/02/201713:40:00
zjnzjlcnzjla,127_alltaskscropped,509_alltaskscropped,1277,TRUE,10/03/201713:42:00
zjnzjlcnzjla,9_alltaskscropped,1749_alltaskscropped,1373,TRUE,10/03/201711:13:00
zjnzjlcnzjla,1892_alltaskscropped,632_alltaskscropped,1464,TRUE,10/03/201712:19:00
zjnzjlcnzjla,89_alltaskscropped,1596_alltaskscropped,1473,TRUE,28/02/201714:08:00
zjnzjlcnzjla,1076_alltaskscropped,1949_alltaskscropped,1583,TRUE,10/03/201711:38:00
zjnzjlcnzjla,1602_alltaskscropped,14_alltaskscropped,1607,TRUE,10/03/201711:34:00
zjnzjlcnzjla,747_alltaskscropped,1195_alltaskscropped,163,TRUE,10/03/201713:45:00
zjnzjlcnzjla,1381_alltaskscropped,1430_alltaskscropped,1759,TRUE,10/03/201714:01:00
zjnzjlcnzjla,1954_alltaskscropped,1430_alltaskscropped,1759,TRUE,28/02/201714:11:00
zjnzjlcnzjla,737_alltaskscropped,502_alltaskscropped,1855,TRUE,10/03/201714:15:00
zjnzjlcnzjla,1164_alltaskscropped,731_alltaskscropped,2069,undefined,15/02/201714:58:00
zjnzjlcnzjla,357_alltaskscropped,1475_alltaskscropped,2158,undefined,14/02/201712:46:00
zjnzjlcnzjla,82_alltaskscropped,210_alltaskscropped,2532,TRUE,10/03/201712:10:00
zjnzjlcnzjla,179_alltaskscropped,984_alltaskscropped,2659,TRUE,10/03/201712:00:00
zjnzjlcnzjla,555_alltaskscropped,1646_alltaskscropped,2733,TRUE,10/03/201713:07:00
zjnzjlcnzjla,335_alltaskscropped,1971_alltaskscropped,2758,undefined,15/02/201714:51:00
zjnzjlcnzjla,1407_alltaskscropped,1576_alltaskscropped,2794,TRUE,28/02/201714:04:00
zjnzjlcnzjla,1188_alltaskscropped,1776_alltaskscropped,2806,TRUE,10/03/201712:16:00
zjnzjlcnzjla,1403_alltaskscropped,1616_alltaskscropped,2952,TRUE,10/03/201712:05:00
zjnzjlcnzjla,1842_alltaskscropped,1983_alltaskscropped,2993,TRUE,10/03/201714:11:00
zjnzjlcnzjla,1331_alltaskscropped,1711_alltaskscropped,3003,TRUE,10/03/201711:31:00
zjnzjlcnzjla,466_alltaskscropped,636_alltaskscropped,3288,TRUE,10/03/201711:26:00
