session,judge,candidate_chosen,candidate_not_chosen
1,84,Pepsi Real Sugar,Coca Cola
1,84,Coca Cola,Pepsi
1,84,Mexican Coke,Pepsi
1,84,Pepsi Real Sugar,Pepsi
1,84,Pepsi Real Sugar,Mexican Coke
1,85,Sams,Coca Cola
1,85,Coca Cola,Mexican Coke
1,85,RC,Coca Cola
1,85,Pepsi Real Sugar,Pepsi
1,85,Pepsi,RC
1,86,Pepsi,Coca Cola
1,86,Sams,Coca Cola
1,86,Pepsi,Pepsi Real Sugar
1,86,RC,Pepsi
1,86,Coca Cola,Pepsi Real Sugar
1,87,Coca Cola,Pepsi
1,87,Coca Cola,Pepsi Real Sugar
1,87,Sams,Pepsi
1,87,RC,Pepsi
1,87,Pepsi,Pepsi Real Sugar
1,88,Mexican Coke,Coca Cola
1,88,Coca Cola,RC
1,88,Coca Cola,Pepsi Real Sugar
1,88,Sams,Pepsi Real Sugar
1,88,Mexican Coke,Pepsi Real Sugar
1,89,Pepsi,Sams
1,89,Pepsi,Mexican Coke
1,89,Coca Cola,Sams
1,89,Sams,Pepsi Real Sugar
1,89,Mexican Coke,Coca Cola
1,90,Pepsi Real Sugar,Coca Cola
1,90,Coca Cola,Mexican Coke
1,90,Pepsi,Coca Cola
1,90,Mexican Coke,Pepsi
1,90,Pepsi Real Sugar,Pepsi
1,91,Pepsi Real Sugar,Coca Cola
1,91,Pepsi,Pepsi Real Sugar
1,91,Pepsi,Mexican Coke
1,91,Mexican Coke,Pepsi Real Sugar
1,91,Pepsi Real Sugar,RC
1,92,Coca Cola,Pepsi Real Sugar
1,92,Pepsi,Pepsi Real Sugar
1,92,Sams,Pepsi
1,92,Mexican Coke,Pepsi
1,92,RC,Pepsi Real Sugar
1,93,Pepsi,Coca Cola
1,93,Sams,Coca Cola
1,93,RC,Coca Cola
1,93,Pepsi,Mexican Coke
1,93,Pepsi,Pepsi Real Sugar
1,94,Mexican Coke,Coca Cola
1,94,Pepsi,Mexican Coke
1,94,Coca Cola,Pepsi Real Sugar
1,94,RC,Pepsi Real Sugar
1,94,Sams,Coca Cola
1,95,Pepsi,Coca Cola
1,95,Coca Cola,Pepsi Real Sugar
1,95,Sams,Coca Cola
1,95,Mexican Coke,Coca Cola
1,95,RC,Coca Cola
1,96,Pepsi,Coca Cola
1,96,Pepsi,Pepsi Real Sugar
1,96,Pepsi,Sams
1,96,Coca Cola,Pepsi Real Sugar
1,96,Coca Cola,Sams
1,97,Coca Cola,Mexican Coke
1,97,Pepsi,Mexican Coke
1,97,Pepsi Real Sugar,Coca Cola
1,97,Pepsi,Pepsi Real Sugar
1,97,Pepsi Real Sugar,RC
1,98,Pepsi,Coca Cola
1,98,Sams,Coca Cola
1,98,Coca Cola,RC
1,98,Pepsi Real Sugar,Pepsi
1,98,Pepsi Real Sugar,Sams
1,99,Coca Cola,Pepsi
1,99,Coca Cola,Pepsi Real Sugar
1,99,Sams,Coca Cola
1,99,Mexican Coke,Coca Cola
1,99,Coca Cola,RC
1,100,Coca Cola,Mexican Coke
1,100,Coca Cola,Pepsi
1,100,Pepsi,Pepsi Real Sugar
1,100,Sams,Pepsi
1,100,Pepsi,RC
2,1,RC,Pepsi Real Sugar
2,1,Sams,RC
2,1,Mexican Coke,Pepsi Real Sugar
2,1,Sams,Mexican Coke
2,1,RC,Coca Cola
2,2,Sams,Coca Cola
2,2,Mexican Coke,Pepsi
2,2,RC,Pepsi Real Sugar
2,2,Sams,RC
2,2,RC,Mexican Coke
2,3,Pepsi Real Sugar,Pepsi
2,3,Mexican Coke,Pepsi Real Sugar
2,3,Pepsi Real Sugar,RC
2,3,RC,Sams
2,3,RC,Mexican Coke
2,4,RC,Pepsi Real Sugar
2,4,RC,Sams
2,4,Mexican Coke,Pepsi Real Sugar
2,4,RC,Mexican Coke
2,4,Coca Cola,RC
2,5,Mexican Coke,Coca Cola
2,5,Mexican Coke,Pepsi
2,5,Mexican Coke,Sams
2,5,Mexican Coke,RC
2,5,RC,Coca Cola
2,6,Mexican Coke,Pepsi
2,6,Mexican Coke,Pepsi Real Sugar
2,6,RC,Mexican Coke
2,6,RC,Coca Cola
2,6,RC,Pepsi
2,7,Coca Cola,Sams
2,7,Mexican Coke,Sams
2,7,RC,Sams
2,7,Mexican Coke,Pepsi
2,7,Pepsi Real Sugar,RC
2,8,Sams,Pepsi
2,8,Mexican Coke,Coca Cola
2,8,Sams,Mexican Coke
2,8,RC,Mexican Coke
2,8,RC,Sams
2,9,Mexican Coke,Pepsi Real Sugar
2,9,Sams,Coca Cola
2,9,Sams,Pepsi
2,9,Mexican Coke,Sams
2,9,Sams,RC
2,10,Coca Cola,Mexican Coke
2,10,Mexican Coke,Pepsi Real Sugar
2,10,Sams,Mexican Coke
2,10,Pepsi,RC
2,10,Sams,RC
2,11,Sams,Pepsi Real Sugar
2,11,Coca Cola,Mexican Coke
2,11,Mexican Coke,Pepsi Real Sugar
2,11,Sams,Mexican Coke
2,11,Sams,RC
2,12,Pepsi,Mexican Coke
2,12,Pepsi Real Sugar,Mexican Coke
