session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-rigour,5504,142,182,42
study2-rigour,5639,152,182,8
study2-rigour,5426,137,152,65
study2-rigour,5639,162,142,38
study2-rigour,5639,147,117,4
study2-rigour,5639,127,177,5
study2-rigour,5639,167,132,4
study2-rigour,5639,157,172,6
study2-rigour,5639,117,152,7
study2-rigour,5426,132,142,41
study2-rigour,5639,142,122,12
study2-rigour,5639,162,112,4
study2-rigour,5426,177,147,15
study2-rigour,5639,137,182,7
study2-rigour,5426,182,172,9
study2-rigour,5639,157,147,8
study2-rigour,5504,127,152,122
study2-rigour,5639,162,167,4
study2-rigour,5426,157,167,21
study2-rigour,5639,117,172,6
study2-rigour,5426,112,117,15
study2-rigour,5426,162,177,9
study2-rigour,5426,122,137,8
study2-rigour,5426,127,132,10
study2-rigour,5426,157,142,8
study2-rigour,5426,182,152,12
study2-rigour,5757,127,147,54
study2-rigour,5757,167,137,97
study2-rigour,6582,167,137,172
study2-rigour,5757,157,112,131
study2-rigour,6582,132,122,37
study2-rigour,6582,142,117,60
study2-rigour,5757,117,152,113
study2-rigour,6582,152,177,96
study2-rigour,5757,172,182,65
study2-rigour,6582,172,127,39
study2-rigour,5757,162,132,71
study2-rigour,5757,177,122,14
study2-rigour,5172,137,147,51
study2-rigour,5172,162,112,23
study2-rigour,5172,142,127,16
study2-rigour,6582,162,147,493
study2-rigour,5172,167,182,8
study2-rigour,6582,157,182,20
study2-rigour,5172,157,132,21
study2-rigour,6582,152,112,8
study2-rigour,5172,152,122,31
study2-rigour,6582,137,172,25
study2-rigour,6582,147,117,35
study2-rigour,5172,177,172,38
study2-rigour,5172,117,127,11
study2-rigour,6582,127,177,21
study2-rigour,5172,142,167,14
study2-rigour,6582,142,167,11
study2-rigour,5172,162,122,8
study2-rigour,6582,182,132,30
study2-rigour,6582,157,112,23
study2-rigour,6582,162,122,13
study2-rigour,6582,137,147,16
study2-rigour,6582,152,132,12
study2-rigour,6582,157,142,10
study2-rigour,6582,127,182,6
study2-rigour,6582,117,112,6
study2-rigour,6582,177,172,18
study2-rigour,6582,162,167,11
study2-rigour,6582,137,122,4
study2-rigour,6582,147,112,4
study2-rigour,6582,167,182,10
