judge,candidate_chosen,candidate_not_chosen,group
79,198,95,peer2
208,198,143,peer2
208,198,194,peer2
77,198,217,peer2
147,198,218,peer2
240,199,90,peer2
23,199,104,peer2
38,199,147,peer2
54,199,149,peer2
147,199,211,peer2
88,200,6,peer2
208,200,143,peer2
197,200,182,peer2
21,200,198,peer2
184,200,201,peer2
208,200,203,peer2
77,200,210,peer2
220,201,26,peer2
183,201,28,peer2
164,201,76,peer2
142,201,114,peer2
147,201,130,peer2
183,201,170,peer2
147,201,199,peer2
77,201,213,peer2
98,202,30,peer2
28,202,159,peer2
57,202,159,peer2
75,203,94,peer2
209,203,130,peer2
1,203,144,peer2
53,203,144,peer2
208,203,184,peer2
143,203,206,peer2
40,205,57,peer2
40,205,112,peer2
197,205,144,peer2
144,205,145,peer2
144,205,179,peer2
162,206,148,peer2
53,206,164,peer2
194,206,168,peer2
75,206,179,peer2
162,206,189,peer2
89,206,189,peer2
194,206,189,peer2
89,206,205,peer2
142,206,229,peer2
230,207,29,peer2
240,207,55,peer2
220,207,70,peer2
141,207,90,peer2
149,207,92,peer2
184,207,147,peer2
88,207,198,peer2
213,208,2,peer2
131,208,94,peer2
201,208,144,peer2
57,208,184,peer2
87,208,217,peer2
102,209,41,peer2
197,209,113,peer2
94,209,123,peer2
27,209,215,peer2
87,210,2,peer2
87,210,208,peer2
102,211,36,peer2
214,211,151,peer2
142,211,202,peer2
194,211,205,peer2
194,211,214,peer2
40,212,210,peer2
59,212,213,peer2
98,212,213,peer2
59,212,216,peer2
163,213,47,peer2
163,213,135,peer2
90,213,159,peer2
101,213,163,peer2
27,213,206,peer2
202,214,20,peer2
205,214,57,peer2
188,214,134,peer2
90,214,147,peer2
202,214,159,peer2
144,214,189,peer2
230,214,210,peer2
101,215,4,peer2
135,215,7,peer2
120,215,65,peer2
173,215,71,peer2
60,215,97,peer2
52,215,116,peer2
101,215,137,peer2
152,215,148,peer2
143,215,169,peer2
149,215,195,peer2
120,215,203,peer2
93,215,206,peer2
149,215,207,peer2
52,215,209,peer2
200,215,221,peer2
