session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-understanding,6797,130,185,116
study2-understanding,6797,140,160,121
study2-understanding,6797,180,120,28
study2-understanding,6797,115,175,85
study2-understanding,6797,125,165,22
study2-understanding,6797,135,170,17
study2-understanding,6797,160,175,12
study2-understanding,6797,145,185,7
study2-understanding,6797,120,155,19
study2-understanding,6797,150,140,22
study2-understanding,6797,130,180,8
study2-understanding,6797,170,115,18
study2-understanding,6797,160,125,5
study2-understanding,6797,155,165,5
study2-understanding,6797,135,145,5
study2-understanding,6797,130,120,3
study2-understanding,6797,180,185,4
study2-understanding,6797,150,175,3
study2-understanding,6797,140,165,7
study2-understanding,6797,115,125,6
study2-understanding,6797,170,185,11
study2-understanding,5607,120,125,55
study2-understanding,5607,145,165,207
study2-understanding,5607,160,115,54
study2-understanding,5607,150,140,108
study2-understanding,5607,130,180,61
study2-understanding,5607,135,155,171
study2-understanding,5607,170,175,313
study2-understanding,6118,120,125,23
study2-understanding,6118,160,165,9
study2-understanding,6118,170,130,7
study2-understanding,5607,120,185,91
study2-understanding,6118,180,145,15
study2-understanding,6118,135,150,4
study2-understanding,6118,115,175,6
study2-understanding,6118,140,155,5
study2-understanding,6118,160,185,14
study2-understanding,6118,140,175,4
study2-understanding,6118,115,125,4
study2-understanding,6118,180,170,4
study2-understanding,6118,135,130,4
study2-understanding,6118,165,145,14
study2-understanding,5607,145,155,18
study2-understanding,6118,155,150,8
study2-understanding,6118,120,185,2
study2-understanding,6118,140,135,4
study2-understanding,6118,180,130,3
study2-understanding,6118,165,150,9
study2-understanding,6118,175,125,4
study2-understanding,6118,170,160,5
study2-understanding,6118,120,115,2
study2-understanding,6118,185,155,3
study2-understanding,6118,140,145,3
study2-understanding,5607,135,175,5
study2-understanding,5607,160,150,32
study2-understanding,6118,115,150,50
study2-understanding,6118,125,165,16
study2-understanding,6109,180,170,31
study2-understanding,6109,130,155,76
study2-understanding,6109,115,185,8
study2-understanding,6109,145,120,28
study2-understanding,6109,160,140,22
study2-understanding,6109,175,135,13
study2-understanding,6109,165,125,36
study2-understanding,6109,150,180,58
study2-understanding,6109,130,170,5
study2-understanding,6109,155,120,5
study2-understanding,6109,115,140,7
study2-understanding,6109,145,125,2
study2-understanding,6109,165,175,5
study2-understanding,6109,160,185,2
study2-understanding,6109,150,135,4
study2-understanding,6109,180,130,8
study2-understanding,6109,155,170,3
study2-understanding,6109,160,125,3
study2-understanding,6109,165,120,2
study2-understanding,6109,145,140,3
study2-understanding,6109,175,185,3
study2-understanding,6109,135,115,5
study2-understanding,6109,150,170,41
study2-understanding,6109,130,175,11
study2-understanding,6109,180,125,20
study2-understanding,5566,185,160,285
study2-understanding,5566,165,170,341
study2-understanding,5566,120,155,200
study2-understanding,5566,115,145,133
study2-understanding,5566,180,140,1323
study2-understanding,5566,135,130,63
study2-understanding,5566,125,150,13
study2-understanding,5566,135,175,11
study2-understanding,5566,185,170,8
study2-understanding,5566,120,140,5
study2-understanding,5566,145,165,11
study2-understanding,5566,160,180,9
study2-understanding,5566,115,155,27
study2-understanding,5566,130,175,91
study2-understanding,5566,120,125,4
study2-understanding,5503,140,170,86
study2-understanding,5566,135,150,2065
study2-understanding,5566,160,165,6
study2-understanding,5566,145,155,4
study2-understanding,5503,150,145,278
study2-understanding,5566,185,180,6
study2-understanding,5566,115,130,7
study2-understanding,5566,140,170,7
study2-understanding,5566,125,175,4
study2-understanding,5503,180,115,140
study2-understanding,5566,150,155,381
study2-understanding,5566,165,130,47
study2-understanding,5566,135,160,19
study2-understanding,5503,185,130,359
study2-understanding,5503,120,135,121
study2-understanding,5503,175,165,109
study2-understanding,5503,155,160,252
study2-understanding,5503,125,170,20
study2-understanding,5503,140,145,86
study2-understanding,6002,145,120,27
study2-understanding,5503,120,115,59
study2-understanding,6002,180,185,51
study2-understanding,6002,130,140,47
study2-understanding,6002,150,155,30
study2-understanding,5503,185,180,114
study2-understanding,6002,135,165,32
study2-understanding,6002,115,170,36
study2-understanding,6002,160,125,39
study2-understanding,6002,150,175,44
study2-understanding,6002,135,130,23
study2-understanding,6002,140,165,34
study2-understanding,6002,160,175,18
study2-understanding,6002,115,125,5
study2-understanding,6002,180,155,12
study2-understanding,6002,185,170,17
study2-understanding,6002,135,145,11
study2-understanding,6002,150,120,18
study2-understanding,6002,120,165,16
study2-understanding,5503,160,175,294
study2-understanding,6002,125,170,16
study2-understanding,6002,115,130,7
study2-understanding,6002,185,155,6
study2-understanding,6002,140,145,10
study2-understanding,6002,180,175,10
study2-understanding,6002,160,185,11
study2-understanding,6002,135,170,3
study2-understanding,6002,150,180,14
