judge,candidate_chosen,candidate_not_chosen,time_taken
crjQ3f6BsbXqwkqcK,ea5tYyskbe2hJxyBg,KuHzmmptLeDhhsWPx,10.558
fJC3QTuTKQCjPdtg7,dgovLjAkHKactw8Te,zoyLcsyuhL33JMGaA,128.987
fGNbMkneyek8tyCG9,ea5tYyskbe2hJxyBg,zoyLcsyuhL33JMGaA,18.166
aWSbAXGNHgzZsBTnz,KuHzmmptLeDhhsWPx,dgovLjAkHKactw8Te,2.855
fGNbMkneyek8tyCG9,S2jRQuwxfrevH7NTy,T5obF7dxiMLKmjcJJ,4.82
qH3PsB5bTfazu6C69,yoQr5KJnZboZZXt3K,S2jRQuwxfrevH7NTy,5.054
fGNbMkneyek8tyCG9,MFcor3aTKnq29A2W6,KuHzmmptLeDhhsWPx,136.523
crjQ3f6BsbXqwkqcK,ea5tYyskbe2hJxyBg,MFcor3aTKnq29A2W6,11.445
aWSbAXGNHgzZsBTnz,Mc6NBSWC4NvRT3tBn,KuHzmmptLeDhhsWPx,6.814
fGNbMkneyek8tyCG9,FCwSmYgHBoASKQyD4,ea5tYyskbe2hJxyBg,83.787
crjQ3f6BsbXqwkqcK,Mc6NBSWC4NvRT3tBn,fxspS2SEz3Bv3LgYY,14.038
fJC3QTuTKQCjPdtg7,zoyLcsyuhL33JMGaA,cvP4FRNexvEeDmSwW,237.151
qH3PsB5bTfazu6C69,yoQr5KJnZboZZXt3K,Yt6mzQcy3Qejg82CQ,3.73
qH3PsB5bTfazu6C69,FCwSmYgHBoASKQyD4,fxspS2SEz3Bv3LgYY,13.163
aWSbAXGNHgzZsBTnz,Mc6NBSWC4NvRT3tBn,6gZgcNytec65SZGN7,299.676
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,yoQr5KJnZboZZXt3K,156.719
fJC3QTuTKQCjPdtg7,Mc6NBSWC4NvRT3tBn,KuHzmmptLeDhhsWPx,6.56
aWSbAXGNHgzZsBTnz,FCwSmYgHBoASKQyD4,KuHzmmptLeDhhsWPx,8.453
fGNbMkneyek8tyCG9,Mc6NBSWC4NvRT3tBn,ACEGpME2RJvXyuynF,43.589
qH3PsB5bTfazu6C69,cvP4FRNexvEeDmSwW,T5obF7dxiMLKmjcJJ,15.643
fJC3QTuTKQCjPdtg7,MFcor3aTKnq29A2W6,cvP4FRNexvEeDmSwW,74.167
fJC3QTuTKQCjPdtg7,cvP4FRNexvEeDmSwW,Mc6NBSWC4NvRT3tBn,7.757
aWSbAXGNHgzZsBTnz,S2jRQuwxfrevH7NTy,dgovLjAkHKactw8Te,116.662
aWSbAXGNHgzZsBTnz,dgovLjAkHKactw8Te,zoyLcsyuhL33JMGaA,17.288
crjQ3f6BsbXqwkqcK,MFcor3aTKnq29A2W6,Mc6NBSWC4NvRT3tBn,79.195
aWSbAXGNHgzZsBTnz,Yt6mzQcy3Qejg82CQ,T5obF7dxiMLKmjcJJ,3.022
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,6gZgcNytec65SZGN7,5.309
qH3PsB5bTfazu6C69,S2jRQuwxfrevH7NTy,zoyLcsyuhL33JMGaA,15.388
crjQ3f6BsbXqwkqcK,6gZgcNytec65SZGN7,T5obF7dxiMLKmjcJJ,3.32
fJC3QTuTKQCjPdtg7,Yt6mzQcy3Qejg82CQ,6gZgcNytec65SZGN7,11.365
qH3PsB5bTfazu6C69,FCwSmYgHBoASKQyD4,zoyLcsyuhL33JMGaA,8.867
fJC3QTuTKQCjPdtg7,dgovLjAkHKactw8Te,S2jRQuwxfrevH7NTy,197.624
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,dgovLjAkHKactw8Te,16.511
fJC3QTuTKQCjPdtg7,yoQr5KJnZboZZXt3K,KuHzmmptLeDhhsWPx,112.453
crjQ3f6BsbXqwkqcK,ACEGpME2RJvXyuynF,zoyLcsyuhL33JMGaA,17.555
fGNbMkneyek8tyCG9,Yt6mzQcy3Qejg82CQ,ACEGpME2RJvXyuynF,99.225
crjQ3f6BsbXqwkqcK,ACEGpME2RJvXyuynF,Mc6NBSWC4NvRT3tBn,30.992
fGNbMkneyek8tyCG9,cvP4FRNexvEeDmSwW,yoQr5KJnZboZZXt3K,5.66
qH3PsB5bTfazu6C69,KuHzmmptLeDhhsWPx,T5obF7dxiMLKmjcJJ,8.028
fJC3QTuTKQCjPdtg7,cvP4FRNexvEeDmSwW,S2jRQuwxfrevH7NTy,100.904
fGNbMkneyek8tyCG9,zoyLcsyuhL33JMGaA,fxspS2SEz3Bv3LgYY,138.268
crjQ3f6BsbXqwkqcK,6gZgcNytec65SZGN7,ACEGpME2RJvXyuynF,11.072
fJC3QTuTKQCjPdtg7,ea5tYyskbe2hJxyBg,yoQr5KJnZboZZXt3K,342.514
fJC3QTuTKQCjPdtg7,cvP4FRNexvEeDmSwW,Mc6NBSWC4NvRT3tBn,7.665
fJC3QTuTKQCjPdtg7,cvP4FRNexvEeDmSwW,Mc6NBSWC4NvRT3tBn,70.124
fJC3QTuTKQCjPdtg7,S2jRQuwxfrevH7NTy,FCwSmYgHBoASKQyD4,18.355
fGNbMkneyek8tyCG9,FCwSmYgHBoASKQyD4,Yt6mzQcy3Qejg82CQ,17.74
aWSbAXGNHgzZsBTnz,cvP4FRNexvEeDmSwW,T5obF7dxiMLKmjcJJ,212.829
aWSbAXGNHgzZsBTnz,Mc6NBSWC4NvRT3tBn,MFcor3aTKnq29A2W6,14.74
fJC3QTuTKQCjPdtg7,zoyLcsyuhL33JMGaA,6gZgcNytec65SZGN7,32.788
fGNbMkneyek8tyCG9,S2jRQuwxfrevH7NTy,T5obF7dxiMLKmjcJJ,4.36
fGNbMkneyek8tyCG9,MFcor3aTKnq29A2W6,6gZgcNytec65SZGN7,39.695
fJC3QTuTKQCjPdtg7,6gZgcNytec65SZGN7,T5obF7dxiMLKmjcJJ,23.615
fJC3QTuTKQCjPdtg7,MFcor3aTKnq29A2W6,yoQr5KJnZboZZXt3K,16.591
qH3PsB5bTfazu6C69,ea5tYyskbe2hJxyBg,MFcor3aTKnq29A2W6,235.581
crjQ3f6BsbXqwkqcK,yoQr5KJnZboZZXt3K,cvP4FRNexvEeDmSwW,9.565
qH3PsB5bTfazu6C69,cvP4FRNexvEeDmSwW,ea5tYyskbe2hJxyBg,58.774
aWSbAXGNHgzZsBTnz,ea5tYyskbe2hJxyBg,KuHzmmptLeDhhsWPx,626.537
crjQ3f6BsbXqwkqcK,MFcor3aTKnq29A2W6,Mc6NBSWC4NvRT3tBn,19.742
qH3PsB5bTfazu6C69,S2jRQuwxfrevH7NTy,MFcor3aTKnq29A2W6,4.979
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,zoyLcsyuhL33JMGaA,5.423
fGNbMkneyek8tyCG9,dgovLjAkHKactw8Te,Yt6mzQcy3Qejg82CQ,12.076
crjQ3f6BsbXqwkqcK,ACEGpME2RJvXyuynF,fxspS2SEz3Bv3LgYY,5.039
crjQ3f6BsbXqwkqcK,ea5tYyskbe2hJxyBg,6gZgcNytec65SZGN7,162.735
fJC3QTuTKQCjPdtg7,MFcor3aTKnq29A2W6,T5obF7dxiMLKmjcJJ,8.481
fGNbMkneyek8tyCG9,Mc6NBSWC4NvRT3tBn,T5obF7dxiMLKmjcJJ,4.397
fGNbMkneyek8tyCG9,T5obF7dxiMLKmjcJJ,Mc6NBSWC4NvRT3tBn,5.947
aWSbAXGNHgzZsBTnz,KuHzmmptLeDhhsWPx,FCwSmYgHBoASKQyD4,3.051
fGNbMkneyek8tyCG9,cvP4FRNexvEeDmSwW,Yt6mzQcy3Qejg82CQ,20.318
crjQ3f6BsbXqwkqcK,ea5tYyskbe2hJxyBg,ACEGpME2RJvXyuynF,10.327
crjQ3f6BsbXqwkqcK,Mc6NBSWC4NvRT3tBn,T5obF7dxiMLKmjcJJ,4.815
crjQ3f6BsbXqwkqcK,KuHzmmptLeDhhsWPx,cvP4FRNexvEeDmSwW,150.623
aWSbAXGNHgzZsBTnz,KuHzmmptLeDhhsWPx,zoyLcsyuhL33JMGaA,17.949
fJC3QTuTKQCjPdtg7,ea5tYyskbe2hJxyBg,T5obF7dxiMLKmjcJJ,81.027
aWSbAXGNHgzZsBTnz,Mc6NBSWC4NvRT3tBn,ea5tYyskbe2hJxyBg,17.587
aWSbAXGNHgzZsBTnz,Mc6NBSWC4NvRT3tBn,zoyLcsyuhL33JMGaA,27.717
aWSbAXGNHgzZsBTnz,Mc6NBSWC4NvRT3tBn,dgovLjAkHKactw8Te,42.555
aWSbAXGNHgzZsBTnz,6gZgcNytec65SZGN7,dgovLjAkHKactw8Te,76.481
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,dgovLjAkHKactw8Te,14.536
fGNbMkneyek8tyCG9,FCwSmYgHBoASKQyD4,ACEGpME2RJvXyuynF,3.229
fJC3QTuTKQCjPdtg7,fxspS2SEz3Bv3LgYY,T5obF7dxiMLKmjcJJ,9.951
qH3PsB5bTfazu6C69,Yt6mzQcy3Qejg82CQ,yoQr5KJnZboZZXt3K,129.202
fGNbMkneyek8tyCG9,6gZgcNytec65SZGN7,KuHzmmptLeDhhsWPx,15.124
qH3PsB5bTfazu6C69,FCwSmYgHBoASKQyD4,T5obF7dxiMLKmjcJJ,121.776
