judge,candidate_chosen,candidate_not_chosen,time_taken
N3,C51.2 word,C85.1 word,6.5
N3,C64.2 word,C9.2 word,12.3
N3,C41.1 word,C64.1 word,15
N3,C119.1 word,C25.1 word,16.3
N3,C60.2 word,256322-256314-22034134,18.9
N3,C52.2 word,C76.2 word,9.5
N3,C108.2 word,C65.2 word,12
N3,C118.2 word,256322-256314-22094276,13.3
N3,C59.1 word,256322-256314-21787935,15.7
N3,C13.2 word,C15.2 word,11.4
N3,C43.1 word,C20.1 word,13
N3,256322-256314-22113907,C103.2 word,13.5
N3,256322-256314-21788344,C94.1 word,13.5
N3,C104.2 word,256322-256314-21788277,14.3
N3,C83.1 word,C26.1 word,10.5
N3,C20.1 word,C42.1 word,11.7
N3,256322-256314-22114669,256322-256314-22067929,11.9
N3,C35.1 word,C68.1 word,21.5
N3,256322-256314-22824807,C11.2 word,9.5
N3,C23.2 word,256322-256314-21851432,9.5
N3,C66.1 word,C83.2 word,14.2
N3,C99.1 word,C47.1 word,14.8
N3,C32.1 word,C47.1 word,18.5
N3,C31.1 word,256322-256314-22824745,9.1
N3,C90.1 word,256322-256314-22039885,9.8
N3,C54.2 word,C55.1 word,12.2
N3,256322-256314-22824794,C44.1 word,18.1
N3,C61.1 word,C45.1 word,20.2
N3,C113.1 word,C93.1 word,20.5
N3,C34.1 word,256322-256314-22159528,21.7
N3,256322-256314-21839336,C42.1 word,6.4
N3,C92.1 word,C44.1 word,10.6
N3,C27.1 word,C49.1 word,11.8
N3,C22.1 word,C58.1 word,21.5
N3,C109.2 word,C74.1 word,6.1
N3,C110.2 word,C91.1 word,6.5
N3,C104.2 word,256322-256314-22067929,12.6
N3,C3.2 word,C61.2 word,13.5
N3,256322-256314-22780844,256322-256314-22039322,27.1
N3,C111.2 word,C41.2 word,13.5
N3,C75.2 word,C66.1 word,14.8
N3,256322-256314-22466548,C51.1 word,25.7
N3,C46.2 word,256322-256314-21788135,10.4
N3,C45.2 word,256322-256314-21787881,15.5
N3,C77.1 word,C114.1 word,19.2
N3,C112.2 word,C114.2 word,21.6
N3,256322-256314-21787881,256322-256314-22118172,15.9
N3,C31.1 word,C37.1 word,16.2
N3,C76.2 word,C52.1 word,17
N3,C58.2 word,256322-256314-22780604,6.7
N3,C33.1 word,C50.1 word,12.4
N3,C47.2 word,256322-256314-21799725,13.9
N3,C73.2 word,C108.2 word,14.7
N3,C79.2 word,C57.1 word,22
N3,C16.1 word,C81.1 word,12.4
N3,C61.1 word,256322-256314-21855861,14.7
N3,256322-256314-22088225,C26.1 word,15.2
N3,C118.2 word,256322-256314-21788135,17.6
N3,C91.1 word,C99.2 word,7.9
N3,C115.1 word,C81.1 word,10.2
N3,C84.2 word,C98.1 word,10.9
N3,C101.2 word,C111.2 word,27.5
N3,C38.1 word,C95.1 word,12.9
N3,C56.1 word,C75.1 word,14.9
N3,C42.1 word,256322-256314-22039322,23.3
N3,256322-256314-22052022,C76.1 word,8.4
N3,C115.2 word,256322-256314-22824759,9.8
N3,C74.1 word,C97.1 word,11.4
N3,C102.2 word,256322-256314-22780604,14.2
N3,C64.1 word,C19.1 word,21
